tweet_id,customer_text,brand_response,human_final_intent,human_final_escalation,difficulty,human_groundedness,human_correctness,human_tone,human_safety,human_notes
2623967,"@AppleSupport anyone know how to save show notes of a podcast, including the links not just as plain text into Apple Name notes or Evernote?","@448492 You can copy paste the notes, however, that does not include the links. We'd love to get you feedback here: https://t.co/eTPVYVFyd8",app_thirdparty_behavior,False,Moderate,,,,,
2111439,"Dude @AppleSupport , my App Store is having issues loading the Updates page!!!",@622789 Let's look into this. Have you tried changing networks and  loading the Updates page or using cellular data?,app_thirdparty_behavior,False,Simple,,,,,
110918,Does anyone know how to unpair an @115858 Watch without the original phone? @AppleSupport?,"@140674 Thanks for reaching out. If you don't have access to the iPhone, you can't unpair but you can still erase all content and settings on your Apple Watch. This article provides the steps for how to do so under the ""Erase your Apple Watch"" section: https://t.co/09tmX2l5D3",account_appleid_security,True,Moderate,,,,,
1218398,Why?? I'm connected to WiFi and I tried on my mobile data... Wtf is wrong with @AppleSupport?? https://t.co/EknSNtu7VV,@405876 We can help with this update. Check out this article for steps to take for this error: https://t.co/Ui1yTnOCUz,software_update_bugs,False,Complex,,,,,
1802533,"@AppleSupport How can you lock OSX with a keyboard shortcut? Like on windows, it's Windows+L",@541621 Thanks for reaching out to us. We are always happy to help. Can you please send us a DM and clarify what you're trying to do? https://t.co/GDrqU22YpT,software_update_bugs,False,Moderate,,,,,
1991402,@AppleSupport IOS 11.03 battery drains quickly. I have 6S plus and wife has 6S.,"@167564 We'd love to help you with this. First, update to iOS 11.1, retest, and meet us in DM if the concerns persist here: https://t.co/GDrqU22YpT",software_update_bugs,False,Complex,,,,,
2229370,@AppleSupport @87961 hi is this fake as I didn’t buy a gift card !! https://t.co/ev7CyxGHc7,@568311 These types of emails are called phishing. What we mean by this is the sender attempts to get personal information such as your Apple ID or credit card. More info &amp; where to forward is here: https://t.co/sayPykspsk,account_appleid_security,True,Simple,,,,,
1828500,@115858 @AppleSupport this has happened to my MacBook charger - can I get a replacement? https://t.co/QPE5L65TDD,"@548751 We're glad you got in touch with us. Let's continue working via DM, so we can look into some additional support options. https://t.co/GDrqU22YpT",device_hardware_battery,True,Simple,,,,,
994514,@AppleSupport My 15 month old MacBook Air won't start! Was fine last night and in perfect condition. Not a charger issue. Checked! SOS! :(,@355567 We can help with your MacBook Air! Please try the steps in the following article and let us know: https://t.co/RqWW0duJ0U,device_hardware_battery,True,Complex,,,,,
658013,@AppleSupport trying to install apps from the App Store and the just keep buffering and nothing happens,"@276644 Thank you for reaching out to us. Let’s work together to find the best course of action for this issue. To start, what device model and software version are you using? https://t.co/GDrqU22YpT",app_thirdparty_behavior,False,Complex,,,,,
393132,@AppleSupport My Macbook Air (v10.12.6) crashes with Mac equivalent of #BSOD whenever I get an incoming call on my iPhone. Any way to fix?,@209100 We want to help. Send us a DM letting us know of any troubleshooting steps you have taken thus far. https://t.co/GDrqU22YpT,software_update_bugs,False,Simple,,,,,
523837,@AppleSupport Hello - I'm having trouble with my iPhone 7. A black screen with the spinning wheel appears every 10-20 seconds and asks for my key code. I did a full factory reset and the problem still persists. My current iOS version is 11.1.2 (updated less than 24 hours ago).,@241078 We received your DM and will work with you there. You should see our reply shortly.,software_update_bugs,False,Complex,,,,,
617349,@AppleSupport can you check the battery health of my iPhone,@266468 Thanks for reaching out! We’d be happy to help with your battery. Let us know what kind of issues you’re having with it in DM. We’ll continue working with you there. https://t.co/GDrqU22YpT,device_hardware_battery,False,Simple,,,,,
