case_number,tweet_id,customer_text,main_agent_reply,retrieved_evidence_1,retrieved_evidence_2,retrieved_evidence_3,human_groundedness,human_correctness,human_tone,human_safety,human_notes,,,,,,,,,,,,,,,,,
11,2404961,@AppleSupport I need after sales support. I have a case opened for the past 2 to 3 weeks with no fix. I am not happy with the level of support and I am a frustrated it customer bought a product a month ago that become out of production 10 days after me buying it. series 2 watch!,Thanks for reaching out to Apple Support! Please send us a Direct Message with your device details and we'll be happy to assist.,@564920 Let's look into this together. Meet us in DM and we'll go from there. https://t.co/GDrqU22YpT,@219220 We're happy to help. Let us know how we can assist.,"@287944 Thanks for contacting us with questions about the differences in our Apple Watches. We're happy to help point you in the right direction. To start, please DM us with the country where you're located. https://t.co/GDrqU22YpT",5,3,5,5,,,,,,,,,,,,,,,,,,
12,2016017,@AppleSupport Why’d you drop the kill switch on the last update? #help,"We're here to help. Try restarting your device, ensuring you have a backup, and checking Settings > General > Software Update. If the issue persists, send us a DM!",@547012 Let's examine this battery issue for you. How long does a full charge usually last? Let us know in DM. https://t.co/GDrqU22YpT,@359989 We're here to help. Did you try updating your device over the air or through iTunes? Please DM us. https://t.co/GDrqU22YpT,"@539685 Hey Andrew, we'd like to look into this for you. Can you DM us more information about the location where this happened? https://t.co/GDrqU22YpT",2,2,4,4,,,,,,,,,,,,,,,,,,
13,1779084,@AppleSupport how to I fix this,"We hear you and want to help resolve this. @118250 We want to help you. DM us, and let us know what's going on. We'll look into this. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.","@118250 We want to help you. DM us, and let us know what's going on. We'll look into this. https://t.co/GDrqU22YpT",@629927 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,@522201 We can definitely look into this with you. Can you tell us which device you're using?,5,3,5,5,,,,,,,,,,,,,,,,,,
14,2361678,@AppleSupport I bought a game on the Mac App Store that isn’t compatible with my machine in spite of verifying the requirements before purchasing. Can I be refunded for this un-playable game that I bought under false pretences?,We hear you and want to help resolve this. @142519 Hey there! Thanks for asking; we'd love to help with this! Animal Crossing is available for iOS devices running iOS 9 or later. It's not currently available for Mac computers. Send us a DM with your iOS version and device model so we can take a closer look.,@142519 Hey there! Thanks for asking; we'd love to help with this! Animal Crossing is available for iOS devices running iOS 9 or later. It's not currently available for Mac computers.,@296437 That email doesn't appear to be from us. You can use the steps here to check further: https://t.co/LNMCdqt6fD,@316611 Downloading and updating apps are important. What type of device do you have? Does this still happen after restarting it?,2,1,5,5,,,,,,,,,,,,,,,,,,
15,2008419,@AppleSupport new software update has my iPhone 7 no longer working? The iPhone 7 was purchased 6/26/17 🤔🤦‍♂️,"We're here to help. Try restarting your device, ensuring you have a backup, and checking Settings > General > Software Update. If the issue persists, send us a DM!",@550107 We'd be glad to help if you're having issues. Which device is this on &amp; what version of OS is installed? DM us &amp; let us know. https://t.co/GDrqU22YpT,@756118 Let's figure out why this is happening together. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,"@780171 Thank you for reaching out to us! We know how important it is to have your device working as expected, and we’ll do everything we can to help you out with this. Can you tell us how long you have been having this issue?",5,2,5,5,,,,,,,,,,,,,,,,,,
16,2008033,@AppleSupport this update is garb. Please help,"We're here to help! @285046 Having your device up to date is important &amp; we'd like to help. So we're clear, what happens when you attempt to update?","@285046 Having your device up to date is important &amp; we'd like to help. So we're clear, what happens when you attempt to update?",@531091 We're here for you. Send us a DM with your current iOS version and we'll get started there. https://t.co/GDrqU22YpT,@289410 We'd like to help. Which device are you having the issue with? What happens when you try to update?,5,4,5,5,,,,,,,,,,,,,,,,,,
17,1144278,@AppleSupport @15443 How are we meant to watch #TheShannaraChronicles each week on SPIKE when that channel isn’t broadcast in Australia? https://t.co/kZpe5ODsXu,"We hear you and want to help resolve this. @234433 Based on the video, we are unable to discern what the issue is. Please send us a DM with details about what is going on. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.","@234433 Based on the video, we are unable to discern what the issue is. Please send us a DM with details about what is going on. https://t.co/GDrqU22YpT",@703137 We're here to help. We released an update to address this issue. Back up your iPhone and update by following these steps: https://t.co/80YRnjDFDk,@668660 We'd like to collect more details to better understand what's happening. Please DM us here: https://t.co/GDrqU22YpT,5,4,5,5,,,,,,,,,,,,,,,,,,
18,2623967,"@AppleSupport anyone know how to save show notes of a podcast, including the links not just as plain text into Apple Name notes or Evernote?",We hear you and want to help resolve this. @522074 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.,@522074 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,@761077 Sorry to hear you're having issues! Send us a DM with a detailed explanation of what happens when you try to search your notes. https://t.co/GDrqU22YpT,@544080 It would be our pleasure to help. Send us a DM with more details of the issue and we'll continue from there. https://t.co/GDrqU22YpT,5,2,5,5,,,,,,,,,,,,,,,,,,
19,2111439,"Dude @AppleSupport , my App Store is having issues loading the Updates page!!!","We're here to help! @121159 Thanks for reaching out, we’ll be glad to help. Can you confirm if this happens after a restart? https://t.co/OWRDHWSt4h","@121159 Thanks for reaching out, we’ll be glad to help. Can you confirm if this happens after a restart? https://t.co/OWRDHWSt4h","@520248 According to our system status link, everything is good: https://t.co/7NVrDovSd8 Anything we can help with?",@119094 We can look into this with you. DM us with more details on the issue you're having. We'll do everything we can to help. https://t.co/GDrqU2kzhr,5,4,5,5,,,,,,,,,,,,,,,,,,
20,110918,Does anyone know how to unpair an @115858 Watch without the original phone? @AppleSupport?,We're here to help! @437921 Hi! This should help you out: https://t.co/BdISLrN866,@437921 Hi! This should help you out: https://t.co/BdISLrN866,@179008 Great question! That icon denotes where the audio is playing for the Music controls. You can tap on it for quick access to select another accessory to play the audio through.,@733381 We can help! Please join us in DM. https://t.co/GDrqU22YpT,5,5,5,5,,,,,,,,,,,,,,,,,,
21,1218398,Why?? I'm connected to WiFi and I tried on my mobile data... Wtf is wrong with @AppleSupport?? https://t.co/EknSNtu7VV,"We're here to help! @669008 Thank you for reaching out to us! We know how important it is to have your device working as expected, and we’ll do everything we can to help you out with this. Can you tell us which device and software you’re using? Also, how long have you been having this issue?","@669008 Thank you for reaching out to us! We know how important it is to have your device working as expected, and we’ll do everything we can to help you out with this. Can you tell us which device and software you’re using? Also, how long have you been having this issue?",@144542 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,"@245918 We're here for you. Take a look at this article: https://t.co/xXaXeeSRt9

Send us a DM if the issue persists. https://t.co/GDrqU22YpT",5,2,5,5,,,,,,,,,,,,,,,,,,
22,1802533,"@AppleSupport How can you lock OSX with a keyboard shortcut? Like on windows, it's Windows+L","We're here to help! @476818 There is not. For further questions, you can contact our Education department at the following link: https://t.co/IBIY3vMgPj","@476818 There is not. For further questions, you can contact our Education department at the following link: https://t.co/IBIY3vMgPj","@150581 We'd be happy to see how we can help with switching apps. To start, can you tell us which device and OS version you're experiencing this on?",@667513 Great question! Learn more about keyboard shortcuts for iTunes on your Mac here: https://t.co/1T4QqU1WEQ,5,2,5,5,,,,,,,,,,,,,,,,,,
23,1991402,@AppleSupport IOS 11.03 battery drains quickly. I have 6S plus and wife has 6S.,We're here to help! @631376 Can you confirm what version of 11 you are running?,@631376 Can you confirm what version of 11 you are running?,@565939 We want to ensure you can rely on your battery. Let's look into this together. DM us the exact iOS version that's installed. https://t.co/GDrqU22YpT,@458428 We can help out. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT,5,4,5,5,,,,,,,,,,,,,,,,,,
24,2229370,@AppleSupport @87961 hi is this fake as I didn’t buy a gift card !! https://t.co/ev7CyxGHc7,We're here to help! @211923 Here's a great link that will help to identify legitimate emails coming from the Apple iTunes Store: https://t.co/FqA1UqeB43,@211923 Here's a great link that will help to identify legitimate emails coming from the Apple iTunes Store: https://t.co/FqA1UqeB43,@530224 Let's get you pointed in the right direction!  Our iTunes support team can assist at: https://t.co/SDIe7UiyJN,@278730 We certainly want you to enjoy you to be able to access and download your favorite Music. Let's get you to our iTunes Store Support team for help here: https://t.co/SDIe7UiyJN,5,3,5,5,,,,,,,,,,,,,,,,,,
25,1828500,@115858 @AppleSupport this has happened to my MacBook charger - can I get a replacement? https://t.co/QPE5L65TDD,We hear you and want to help resolve this. @649350 Send us a DM and let us know your country. We'll get started from there. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.,@649350 Send us a DM and let us know your country. We'll get started from there. https://t.co/GDrqU22YpT,"@793027 Hey there, Dave. Thank you so much for bringing this to our attention. Send us a DM, and let us know which Mac this is being used with. We'll have a look into this. https://t.co/GDrqU22YpT","@795729 The security of your account is very important, and we're happy to help. Follow up with us in DM. We'll take a closer look with you there. https://t.co/GDrqU22YpT",5,3,5,5,,,,,,,,,,,,,,,,,,
26,994514,@AppleSupport My 15 month old MacBook Air won't start! Was fine last night and in perfect condition. Not a charger issue. Checked! SOS! :(,We're here to help! @346931 We’ve got you. Let's work through the steps suggested in this article: https://t.co/RqWW0duJ0U,@346931 We’ve got you. Let's work through the steps suggested in this article: https://t.co/RqWW0duJ0U,@546829 That's not expected behavior. Send us a DM with the country that you are located in and we'll proceed from there. https://t.co/GDrqU22YpT,@579543 We’re here to address the issues you're experiencing. Let us know your current country in DM to get started. https://t.co/GDrqU22YpT,5,4,5,5,,,,,,,,,,,,,,,,,,
27,658013,@AppleSupport trying to install apps from the App Store and the just keep buffering and nothing happens,"We're here to help! @289792 We want to help you with your App Store connection.  Are you using Wi-Fi or Cellular?
Which exact iOS version are you running?","@289792 We want to help you with your App Store connection.  Are you using Wi-Fi or Cellular?
Which exact iOS version are you running?",@669015 We'd be happy to see what we can do to get those apps downloading again. Which device and OS version are you seeing this on?,@123043 Let’s work together to get your apps downloading again. Are you downloading updates or new apps? Any messages when downloading?,5,4,5,5,,,,,,,,,,,,,,,,,,
28,393132,@AppleSupport My Macbook Air (v10.12.6) crashes with Mac equivalent of #BSOD whenever I get an incoming call on my iPhone. Any way to fix?,We're here to help! @790006 We'd like to look into this with you. Are you seeing this issue in multiple locations or just using one wireless access point?,@790006 We'd like to look into this with you. Are you seeing this issue in multiple locations or just using one wireless access point?,@734392 Thanks for reaching out. We'd like to help. Are you able to force quit the app this issue occurred in? This article has the steps to help: https://t.co/W0vgF3uI0f Let us know and we'll continue to assist.,@416830 Let's try following this article and see if it helps: https://t.co/RqWW0duJ0U,2,1,5,5,,,,,,,,,,,,,,,,,,
29,523837,@AppleSupport Hello - I'm having trouble with my iPhone 7. A black screen with the spinning wheel appears every 10-20 seconds and asks for my key code. I did a full factory reset and the problem still persists. My current iOS version is 11.1.2 (updated less than 24 hours ago).,"We hear you and want to help resolve this. @245243 We understand needing your iPhone to work properly, and we want to help. Take a look here for the steps that will help: https://t.co/osZOKKTalm If you're still having trouble, please let us know in DM. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.","@245243 We understand needing your iPhone to work properly, and we want to help. Take a look here for the steps that will help: https://t.co/osZOKKTalm If you're still having trouble, please let us know in DM. https://t.co/GDrqU22YpT",@241079 Hey there! We’d be happy to assist. Can you tell us the exact iOS version your using? Find out in Settings &gt; General &gt; About. We’ll meet you in DM: https://t.co/GDrqU2kzhr,"@252644 Thanks for reaching out. Was the iPhone's restore completed and the device set up as new, or was it restored from a backup?",5,5,5,5,,,,,,,,,,,,,,,,,,
30,617349,@AppleSupport can you check the battery health of my iPhone,We're here to help! @176777 We'd be happy to see how we can help. What's going on with your battery?,@176777 We'd be happy to see how we can help. What's going on with your battery?,@677840 Thanks for reaching out to us. We're here to help with you iPhone's battery needs. Are you receiving a message stating the iPhone's battery need servicing in Settings &gt; Battery?,@584493 We've received your DM &amp; we'll follow up with you there shortly regarding your battery life. https://t.co/GDrqU22YpT,5,4,5,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
