case_number,customer_text,main_agent_reply,human_groundedness,human_correctness,human_tone,human_safety,llm_groundedness,llm_correctness,llm_tone,llm_safety,llm_overall,llm_reason
20,Does anyone know how to unpair an @115858 Watch without the original phone? @AppleSupport?,We're here to help! @437921 Hi! This should help you out: https://t.co/BdISLrN866,5.0,5.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
21,Why?? I'm connected to WiFi and I tried on my mobile data... Wtf is wrong with @AppleSupport?? https://t.co/EknSNtu7VV,"We're here to help! @669008 Thank you for reaching out to us! We know how important it is to have your device working as expected, and we’ll do everything we can to help you out with this. Can you tell us which device and software you’re using? Also, how long have you been having this issue?",5.0,2.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
22,"@AppleSupport How can you lock OSX with a keyboard shortcut? Like on windows, it's Windows+L","We're here to help! @476818 There is not. For further questions, you can contact our Education department at the following link: https://t.co/IBIY3vMgPj",5.0,2.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
23,@AppleSupport IOS 11.03 battery drains quickly. I have 6S plus and wife has 6S.,We're here to help! @631376 Can you confirm what version of 11 you are running?,5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
24,@AppleSupport @87961 hi is this fake as I didn’t buy a gift card !! https://t.co/ev7CyxGHc7,We're here to help! @211923 Here's a great link that will help to identify legitimate emails coming from the Apple iTunes Store: https://t.co/FqA1UqeB43,5.0,3.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
25,@115858 @AppleSupport this has happened to my MacBook charger - can I get a replacement? https://t.co/QPE5L65TDD,We hear you and want to help resolve this. @649350 Send us a DM and let us know your country. We'll get started from there. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.,5.0,3.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
26,@AppleSupport My 15 month old MacBook Air won't start! Was fine last night and in perfect condition. Not a charger issue. Checked! SOS! :(,We're here to help! @346931 We’ve got you. Let's work through the steps suggested in this article: https://t.co/RqWW0duJ0U,5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
27,@AppleSupport trying to install apps from the App Store and the just keep buffering and nothing happens,"We're here to help! @289792 We want to help you with your App Store connection.  Are you using Wi-Fi or Cellular?
Which exact iOS version are you running?",5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
28,@AppleSupport My Macbook Air (v10.12.6) crashes with Mac equivalent of #BSOD whenever I get an incoming call on my iPhone. Any way to fix?,We're here to help! @790006 We'd like to look into this with you. Are you seeing this issue in multiple locations or just using one wireless access point?,2.0,1.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
29,@AppleSupport Hello - I'm having trouble with my iPhone 7. A black screen with the spinning wheel appears every 10-20 seconds and asks for my key code. I did a full factory reset and the problem still persists. My current iOS version is 11.1.2 (updated less than 24 hours ago).,"We hear you and want to help resolve this. @245243 We understand needing your iPhone to work properly, and we want to help. Take a look here for the steps that will help: https://t.co/osZOKKTalm If you're still having trouble, please let us know in DM. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.",5.0,5.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
30,@AppleSupport can you check the battery health of my iPhone,We're here to help! @176777 We'd be happy to see how we can help. What's going on with your battery?,5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
